Incident Date,State,# Killed,# Injured
1-Jan-14,Mississippi,1,0
11-Jan-14,Arkansas,1,0
29-Jan-14,North Carolina,1,0
7-Feb-14,Massachusetts,1,0
13-Feb-14,Florida,1,0
17-Feb-14,Arkansas,1,0
1-Mar-14,Florida,1,0
5-Mar-14,Alabama,1,0
10-Mar-14,Texas,1,0
11-Mar-14,Indiana,1,0
11-Mar-14,Oklahoma,1,0
18-Mar-14,Utah,0,1
3-Apr-14,Oklahoma,1,0
4-Apr-14,Georgia,1,0
4-Apr-14,Georgia,1,0
5-Apr-14,Pennsylvania,1,0
12-Apr-14,South Carolina,1,1
13-Apr-14,North Carolina,1,0
17-Apr-14,South Carolina,1,0
21-Apr-14,Iowa,1,0
25-Apr-14,North Carolina,1,0
26-Apr-14,Indiana,1,0
28-Apr-14,North Carolina,1,0
29-Apr-14,Kansas,1,0
3-May-14,Pennsylvania,1,0
5-May-14,Georgia,1,0
24-May-14,Vermont,1,0
24-May-14,Texas,1,0
25-May-14,Florida,1,0
27-May-14,Arizona,1,0
1-Jun-14,Missouri,1,0
2-Jul-14,Alabama,1,0
2-Jul-14,Arizona,1,0
29-Jul-14,Kansas,1,0
30-Jul-14,Idaho,1,0
6-Aug-14,Oklahoma,1,0
10-Aug-14,Tennessee,1,0
17-Aug-14,Tennessee,1,0
25-Aug-14,Arizona,1,0
5-Sep-14,Virginia,1,0
13-Sep-14,South Carolina,1,0
11-Oct-14,Louisiana,1,0
17-Oct-14,Tennessee,1,0
22-Oct-14,Montana,1,0
2-Nov-14,Ohio,1,0
8-Nov-14,Michigan,1,0
15-Nov-14,Virginia,1,0
20-Nov-14,Indiana,1,0
24-Nov-14,Oklahoma,1,0
25-Nov-14,Texas,1,0
28-Nov-14,Texas,1,0
5-Dec-14,Illinois,1,0
6-Dec-14,Oklahoma,1,0
15-Dec-14,South Carolina,1,0
29-Dec-14,Michigan,1,0
29-Dec-14,Michigan,1,0
30-Dec-14,Idaho,1,0
31-Dec-14,Alabama,1,0
21-Jan-15,Michigan,1,0
21-Jan-15,Florida,1,0
9-Feb-15,Louisiana,1,0
10-Feb-15,Ohio,1,0
15-Feb-15,Alabama,1,2
27-Feb-15,Texas,1,0
1-Mar-15,Texas,1,0
4-Mar-15,Alaska,1,0
5-Mar-15,Oregon,1,0
6-Mar-15,Tennessee,1,0
13-Mar-15,Michigan,1,0
13-Mar-15,Kentucky,1,0
17-Mar-15,Oklahoma,1,0
19-Mar-15,Texas,1,0
19-Mar-15,Texas,1,0
29-Mar-15,Georgia,1,0
31-Mar-15,Tennessee,1,0
12-Apr-15,Ohio,1,0
18-Apr-15,Texas,1,0
29-Apr-15,Georgia,1,0
30-Apr-15,Georgia,1,0
3-May-15,Florida,1,0
3-May-15,Louisiana,1,0
15-May-15,Arkansas,1,0
16-May-15,California,1,0
23-May-15,Mississippi,1,0
25-May-15,South Dakota,1,0
25-May-15,New York,1,0
25-May-15,Virginia,1,0
30-May-15,Alaska,1,0
30-May-15,Texas,1,0
9-Jun-15,Tennessee,1,0
10-Jun-15,California,1,0
11-Jun-15,Ohio,1,0
13-Jun-15,Texas,1,0
27-Jun-15,Montana,1,0
28-Jun-15,Michigan,1,0
2-Jul-15,Virginia,1,0
5-Jul-15,Texas,1,0
15-Jul-15,Missouri,1,0
17-Jul-15,Louisiana,1,0
23-Jul-15,Michigan,1,0
29-Jul-15,District of Columbia,1,0
30-Jul-15,Texas,1,0
3-Aug-15,Michigan,1,0
3-Aug-15,Texas,1,0
5-Aug-15,Alaska,1,0
18-Aug-15,Alabama,1,0
23-Aug-15,Virginia,1,0
25-Aug-15,Missouri,1,0
1-Sep-15,Pennsylvania,1,0
2-Sep-15,Illinois,1,0
2-Oct-15,Ohio,1,0
10-Oct-15,Utah,1,0
17-Oct-15,Georgia,1,1
17-Oct-15,Illinois,1,0
26-Oct-15,North Carolina,1,0
27-Oct-15,Georgia,1,0
9-Nov-15,Michigan,1,0
11-Nov-15,Georgia,1,0
15-Nov-15,South Carolina,1,0
17-Nov-15,Arkansas,1,0
18-Nov-15,Arkansas,1,0
21-Nov-15,Tennessee,1,0
28-Nov-15,New York,1,0
28-Nov-15,Georgia,1,0
4-Dec-15,Utah,1,0
9-Dec-15,Texas,1,0
11-Dec-15,Kansas,1,0
28-Dec-15,Alaska,1,0
4-Jan-16,Tennessee,2,1
4-Jan-16,Colorado,1,0
9-Jan-16,Kentucky,1,0
10-Jan-16,North Carolina,1,0
19-Jan-16,Texas,1,0
20-Jan-16,Michigan,1,0
20-Jan-16,Louisiana,1,0
23-Jan-16,Alaska,1,0
25-Jan-16,Tennessee,1,0
30-Jan-16,Maryland,1,0
6-Feb-16,Alabama,1,0
16-Feb-16,Texas,1,0
21-Feb-16,Indiana,1,0
21-Feb-16,Florida,1,0
26-Feb-16,Indiana,1,0
29-Feb-16,Tennessee,1,0
1-Mar-16,Florida,1,0
11-Mar-16,Georgia,1,0
19-Mar-16,Texas,1,0
20-Mar-16,Illinois,1,0
16-Apr-16,Pennsylvania,1,0
20-Apr-16,Indiana,1,0
21-Apr-16,Missouri,1,0
22-Apr-16,Louisiana,1,0
26-Apr-16,Georgia,1,0
26-Apr-16,Wisconsin,1,0
1-May-16,Indiana,1,0
10-May-16,Michigan,1,0
12-May-16,Ohio,1,0
20-May-16,Alabama,1,0
20-May-16,Illinois,1,0
21-May-16,Louisiana,1,0
26-May-16,Virginia,1,0
3-Jun-16,Colorado,1,0
17-Jun-16,Iowa,1,0
20-Jun-16,Colorado,1,0
23-Jun-16,Pennsylvania,1,0
25-Jun-16,New Jersey,1,0
1-Jul-16,Tennessee,1,0
2-Jul-16,California,1,0
3-Jul-16,Kentucky,1,0
8-Jul-16,Michigan,1,0
11-Jul-16,Texas,1,0
14-Jul-16,Alabama,1,0
14-Jul-16,Colorado,1,0
15-Jul-16,Florida,1,0
16-Jul-16,Ohio,1,0
18-Jul-16,South Carolina,1,0
20-Jul-16,Georgia,1,0
26-Jul-16,Texas,1,0
31-Jul-16,Alabama,1,0
2-Aug-16,South Carolina,1,1
2-Aug-16,Louisiana,1,0
6-Aug-16,Idaho,1,0
8-Aug-16,Tennessee,1,0
13-Aug-16,Virginia,1,0
14-Aug-16,Iowa,1,0
15-Aug-16,Mississippi,1,0
18-Aug-16,Montana,1,0
25-Aug-16,Tennessee,1,0
28-Aug-16,Kentucky,1,0
1-Sep-16,South Carolina,1,2
11-Sep-16,Kentucky,1,0
12-Sep-16,Pennsylvania,1,0
18-Sep-16,Florida,1,0
18-Sep-16,Florida,1,0
28-Sep-16,Arizona,1,0
30-Sep-16,Wisconsin,1,0
1-Oct-16,Georgia,1,0
13-Oct-16,Illinois,1,0
20-Oct-16,California,1,0
27-Oct-16,Missouri,1,0
29-Oct-16,Ohio,1,0
4-Nov-16,Kansas,1,0
12-Nov-16,Colorado,1,0
13-Nov-16,Colorado,1,0
13-Nov-16,Michigan,1,0
23-Nov-16,West Virginia,1,0